scene,arm,accuracy,dt_s,dt_outer_s,margin_m,max_substeps,n_worlds,wall_ms_per_boundary,exhausted_frac,pen_mean_m,pen_max_m,pen_p95_m,out_of_bin_frac,eject_through_wall_frac,eject_over_rim_frac,eject_spheres_frac,eject_cubes_frac,status
soft-clutter,mujoco,,0.01,0.1,0.0,,64,7.1516,0.0,0.0014986954629421234,0.026843609288334846,0.004238807130604982,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.005,0.1,0.0,,64,12.3474,0.0,0.0016564850229769945,0.03503245487809181,0.005853702314198017,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.002,0.1,0.0,,64,34.0293,0.0,0.001783380750566721,0.03642594814300537,0.0071047162637114525,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco,,0.001,0.1,0.0,,64,58.8365,0.0,0.0018316447967663407,0.03708716109395027,0.006457608658820391,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.1,,0.1,0.0,4096,64,5.2515,0.0,0.001728930277749896,0.031287550926208496,0.003015796886757016,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,0.0,4096,64,13.8411,0.0,0.0018009390914812684,0.035267896950244904,0.005838287062942982,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,0.0,4096,64,32.1644,0.0,0.0017861936939880252,0.03669503331184387,0.005929270293563604,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,0.0,4096,64,106.1476,0.0,0.0018395149381831288,0.03779415786266327,0.007028746418654919,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.01,0.1,0.0,,64,36.0577,0.0,0.000667744898237288,0.003896338865160942,0.0009657762129791081,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.005,0.1,0.0,,64,60.0228,0.0,0.0006639911443926394,0.004503756761550903,0.0009687249548733234,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.002,0.1,0.0,,64,122.0264,0.0,0.0006596353487111628,0.0047986675053834915,0.0009917238494381309,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf,,0.001,0.1,0.0,,64,204.4079,0.0,0.000658218574244529,0.004397805780172348,0.0010095929028466344,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,0.0,4096,64,17.6438,0.0,0.0006626556860283017,0.003770003095269203,0.0008365026442334056,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,0.0,4096,64,52.7622,0.0,0.0006624675006605685,0.0041719358414411545,0.0009593487484380603,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,0.0,4096,64,103.1232,0.0,0.0006640520878136158,0.0037069935351610184,0.0009971309918910265,0.0,0.0,0.0,0.0,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,0.0,4096,64,234.5766,0.0,0.0006630282732658088,0.00355466827750206,0.0009754035854712129,0.0,0.0,0.0,0.0,0.0,ok
